Region,Division,State,Abbrev,Year,Female,Male,Under_15,15_64,65_Over,Am_Indian,Asian,Black,White,Population,Owner,Renter,Households
2,4,Missouri,MO,1930,1806501,1822866,970057,2411996,244525,578,1073,223840,3403876,3629367,459810,461203,939476
4,8,Montana,MT,1930,244378,293228,159651,350918,26700,14798,1654,1256,519898,537606,71419,59636,136210
2,4,Nebraska,NE,1930,671615,706348,408163,882856,86194,3256,932,13752,1360023,1377963,181369,152835,342999
4,8,Nevada,NV,1930,37897,53161,22035,64159,4814,4871,1156,516,84515,91058,11551,12977,25469
1,1,New_Hampshire,NH,1930,233534,231759,124921,298568,41560,64,88,790,464351,465293,64823,53078,119337
1,2,New_Jersey,NJ,1930,2010690,2030644,1094928,2742659,201043,213,2630,208828,3829663,4041334,470509,502497,985636
4,8,New_Mexico,NM,1930,204095,219222,155293,250995,16825,28941,431,2850,391095,423317,54439,40428,98546
1,2,New_York,NY,1930,6275546,6312520,3152319,8757856,667325,6973,15088,412814,12153191,12588066,1155036,1957733,3153124
3,5,North_Carolina,NC,1930,1595068,1575208,1200560,1851926,115671,16579,92,918647,2234958,3170276,279946,349555,644033
2,4,North_Dakota,ND,1930,321230,359615,233731,416441,30280,8387,230,377,671851,680845,81352,57399,145005
2,3,Ohio,OH,1930,3285556,3361141,1825204,4403470,414836,435,1785,309304,6335173,6646697,912295,763650,1697918
3,7,Oklahoma,OK,1930,1162776,1233264,808413,1489700,96888,92725,339,172198,2130778,2396040,225266,320555,564164
4,9,Oregon,OR,1930,454114,499672,233038,652974,67332,4776,8179,2234,938597,953786,154283,106712,266328
1,2,Pennsylvania,PA,1930,4785833,4845517,2885054,6232944,508278,523,3563,431257,9196007,9631350,1198420,1003159,2235620
1,1,Rhode_Island,RI,1930,352125,335372,191988,455335,39953,318,240,9913,677026,687497,67467,96432,165343
3,5,South_Carolina,SC,1930,885607,853158,668634,1012375,57164,959,76,793681,944049,1738765,111257,248335,365680
2,4,South_Dakota,SD,1930,329199,363650,224677,430881,36915,21833,101,646,670269,692849,82482,72902,161013
3,6,Tennessee,TN,1930,1311997,1304559,868625,1625261,119045,161,105,477646,2138644,2616556,270260,314841,600625
3,7,Texas,TX,1930,2858721,2965994,1876131,3711934,232459,1001,1578,854964,4967172,5824715,557686,779269,1380096
4,8,Utah,UT,1930,247848,259999,180884,304075,22665,2869,3903,1108,499967,507847,69583,44610,115936
1,1,Vermont,VT,1930,176345,183266,101710,226530,31253,36,41,568,358966,359611,52813,35563,89188
3,5,Virginia,VA,1930,1205805,1216046,818639,1485350,116678,779,466,650165,1770441,2421851,272208,247497,529089
4,9,Washington,WA,1930,737004,826392,389260,1070653,101503,11253,23642,6840,1521661,1563396,245138,167609,423833
3,5,West_Virginia,WV,1930,839334,889871,620718,1034711,73043,18,103,114893,1614191,1729205,168543,198736,373941
2,3,Wisconsin,WI,1930,1428191,1510815,849059,1896252,192059,11548,464,10739,2916255,2939006,440197,256811,711889
4,8,Wyoming,WY,1930,100780,124785,68342,148338,8707,1845,1229,1250,221241,225565,26425,28322,56887
3,6,Alabama,AL,1940,1433060,1399901,916158,1780594,136209,464,110,983290,1849097,2832961,226460,447355,673815
4,8,Arizona,AZ,1940,241091,258170,153934,321418,23909,55076,2400,14993,426792,499261,62842,68291,131133
3,7,Arkansas,AR,1940,966471,982916,604115,1238012,107260,278,447,482578,1466084,1949387,196916,298909,495825
4,9,California,CA,1940,3391657,3515730,1367301,4984839,555247,18675,167643,124306,6596763,6907387,928796,1209547,2138343
4,8,Colorado,CO,1940,554518,568778,287983,748875,86438,1360,3258,12176,1106502,1123296,146455,169545,316000
1,1,Connecticut,CT,1940,859319,849923,362707,1217981,128554,201,642,32992,1675407,1709242,181629,267053,448682
3,5,Delaware,DE,1940,132172,134333,60512,185427,20566,14,87,35876,230528,266505,33213,37328,70541
3,5,District_of_Columbia,DC,1940,345569,317522,118185,503700,41206,190,1309,187266,474326,663091,51944,121501,173445
3,5,Florida,FL,1940,954291,943123,475529,1290668,131217,690,540,514198,1381986,1897414,226655,293232,519887
3,5,Georgia,GA,1940,1588965,1534758,957187,2007822,158714,106,412,1084927,2038278,3123723,231689,520552,752241
4,8,Idaho,ID,1940,248294,276579,150154,343019,31700,3537,1449,595,519292,524873,82078,59649,141727
2,3,Illinois,IL,1940,3940092,3957149,1708001,5621277,567963,624,4969,387446,7504202,7897241,882870,1309854,2192724
2,3,Indiana,IN,1940,1702595,1725201,822548,2317212,288036,223,334,121916,3305323,3427796,510636,450862,961498
2,4,Iowa,IA,1940,1257774,1280494,623850,1686651,227767,733,150,16694,2520691,2538268,361477,340347,701824
2,4,Kansas,KS,1940,894688,906340,439465,1204427,157136,1165,229,65138,1734496,1801028,260495,250614,511109
3,6,Kentucky,KY,1940,1409815,1435812,864049,1792294,189284,44,127,214031,2631425,2845627,335350,363188,698538
3,7,Louisiana,LA,1940,1191498,1172382,702439,1542438,119003,1801,1037,849303,1511739,2363880,218447,374081,592528
1,1,Maine,ME,1940,421405,425821,221307,545594,80325,1251,128,1304,844543,847226,125390,93578,218968
3,5,Maryland,MD,1940,906206,915038,433847,1263881,123516,73,759,301931,1518481,1821244,220765,244918,465683
1,1,Massachusetts,MA,1940,2214242,2102479,940426,3007321,368974,769,2965,55391,4257596,4316721,426785,693909,1120694
2,3,Michigan,MI,1940,2561379,2694727,1314156,3611096,330854,6282,1836,208345,5039643,5256106,773755,622259,1396014
2,4,Minnesota,MN,1940,1364755,1427545,689151,1890531,212618,12528,862,9928,2768982,2792300,402318,326041,728359
3,6,Mississippi,MS,1940,1099314,1084482,712531,1355847,115418,2134,757,1074578,1106327,2183796,178118,356838,534956
2,4,Missouri,MO,1940,1903412,1881252,885643,2573276,325745,330,761,244386,3539187,3784664,472950,595692,1068642
4,8,Montana,MT,1940,260447,299009,141895,381304,36257,16841,1027,1120,540468,559456,83126,76837,159963
2,4,Nebraska,NE,1940,650046,665788,331531,878671,105632,3401,638,14171,1297624,1315834,169966,190778,360744
4,8,Nevada,NV,1940,48906,61341,24846,78601,6800,4747,806,664,104030,110247,15353,17938,33291
1,1,New_Hampshire,NH,1940,246615,244909,114897,327907,48720,50,71,414,490989,491524,68705,64231,132936
1,2,New_Jersey,NJ,1940,2091006,2069159,874762,3006582,278821,211,1894,226973,3931087,4160165,433878,666382,1100260
4,8,New_Mexico,NM,1940,259972,271846,183592,324942,23284,34510,324,4672,492312,531818,74150,55325,129475
1,2,New_York,NY,1940,6788816,6690326,2777296,9779490,922356,8651,19724,571221,12879546,13479142,1111388,2550725,3662113
3,5,North_Carolina,NC,1940,1798633,1772990,1161219,2253864,156540,22546,144,981298,2567635,3571623,335063,454596,789659
2,4,North_Dakota,ND,1940,306533,335402,190590,411955,39390,10114,156,201,631464,641935,75710,76333,152043
